Effective date ,S&P 500 Energy (Sector),,,,,,,,
4/26/2018,551.49,,,,,,,,
4/27/2018,544.78,,,,,,,,
4/30/2018,544.56,,,,,,,,
5/1/2018,541.54,,,,,,,,
5/2/2018,543.68,,,,,,,,
5/3/2018,542.41,,,,,,,,
5/4/2018,544.84,,,,,,,,
5/7/2018,545.84,,,,,,,,
5/8/2018,550.1,,,,,,,,
5/9/2018,561.29,,,,,,,,
5/10/2018,565.87,,,,,,,,
5/11/2018,565.28,,,,,,,,
5/14/2018,568.85,,,,,,,,
5/15/2018,568.92,,,,,,,,
5/16/2018,571.02,,,,,,,,
5/17/2018,578.51,,,,,,,,
5/18/2018,573.85,,,,,,,,
5/21/2018,579.4,,,,,,,,
5/22/2018,571.99,,,,,,,,
5/23/2018,571.98,,,,,,,,
5/24/2018,562.44,,,,,,,,
5/25/2018,547.77,,,,,,,,
5/29/2018,546.01,,,,,,,,
5/30/2018,563.01,,,,,,,,
5/31/2018,558.35,,,,,,,,
6/1/2018,561.37,,,,,,,,
6/4/2018,556.21,,,,,,,,
6/5/2018,554.3,,,,,,,,
6/6/2018,557.43,,,,,,,,
6/7/2018,566.26,,,,,,,,
6/8/2018,565.02,,,,,,,,
6/11/2018,567.05,,,,,,,,
6/12/2018,562.79,,,,,,,,
6/13/2018,560.5,,,,,,,,
6/14/2018,559.3,,,,,,,,
6/15/2018,547.51,,,,,,,,
6/18/2018,553.66,,,,,,,,
6/19/2018,552.17,,,,,,,,
6/20/2018,554.52,,,,,,,,
6/21/2018,543.84,,,,,,,,
6/22/2018,555.82,,,,,,,,
6/25/2018,543.6,,,,,,,,
6/26/2018,551.2,,,,,,,,
6/27/2018,558.58,,,,,,,,
6/28/2018,557.93,,,,,,,,
6/29/2018,561.54,,,,,,,,
7/2/2018,552.86,,,,,,,,
7/3/2018,556.84,,,,,,,,
7/5/2018,555.97,,,,,,,,
7/6/2018,559.67,,,,,,,,
7/9/2018,567.93,,,,,,,,
7/10/2018,572.13,,,,,,,,
7/11/2018,559.84,,,,,,,,
7/12/2018,560.96,,,,,,,,
7/13/2018,564.08,,,,,,,,
7/16/2018,557.42,,,,,,,,
7/17/2018,555.3,,,,,,,,
7/18/2018,555.47,,,,,,,,
7/19/2018,555.37,,,,,,,,
7/20/2018,553.41,,,,,,,,
7/23/2018,551.23,,,,,,,,
7/24/2018,558.48,,,,,,,,
7/25/2018,563.52,,,,,,,,
7/26/2018,569.12,,,,,,,,
7/27/2018,566.22,,,,,,,,
7/30/2018,570.98,,,,,,,,
7/31/2018,569.16,,,,,,,,
8/1/2018,561.58,,,,,,,,
8/2/2018,558.66,,,,,,,,
8/3/2018,556.06,,,,,,,,
8/6/2018,557.93,,,,,,,,
8/7/2018,561.93,,,,,,,,
8/8/2018,557.65,,,,,,,,
8/9/2018,552.7,,,,,,,,
8/10/2018,554.18,,,,,,,,
8/13/2018,547.44,,,,,,,,
8/14/2018,548.87,,,,,,,,
8/15/2018,529.59,,,,,,,,
8/16/2018,532.85,,,,,,,,
8/17/2018,534.27,,,,,,,,
8/20/2018,537.8,,,,,,,,
8/21/2018,540.46,,,,,,,,
8/22/2018,546.93,,,,,,,,
8/23/2018,544.07,,,,,,,,
8/24/2018,548.4,,,,,,,,
8/27/2018,552.44,,,,,,,,
8/28/2018,549.94,,,,,,,,
8/29/2018,553.39,,,,,,,,
8/30/2018,551.63,,,,,,,,
8/31/2018,547.58,,,,,,,,
9/4/2018,546.02,,,,,,,,
9/5/2018,545.58,,,,,,,,
9/6/2018,535.06,,,,,,,,
9/7/2018,534.93,,,,,,,,
9/10/2018,534.83,,,,,,,,
9/11/2018,540.06,,,,,,,,
9/12/2018,542.82,,,,,,,,
9/13/2018,542.83,,,,,,,,
9/14/2018,545.87,,,,,,,,
9/17/2018,546.77,,,,,,,,
9/18/2018,550.58,,,,,,,,
9/19/2018,552.68,,,,,,,,
9/20/2018,552.36,,,,,,,,
9/21/2018,556.34,,,,,,,,
9/24/2018,564.51,,,,,,,,
9/25/2018,567.74,,,,,,,,
9/26/2018,562.11,,,,,,,,
9/27/2018,562.37,,,,,,,,
9/28/2018,560.91,,,,,,,,
10/1/2018,569.13,,,,,,,,
10/2/2018,569.86,,,,,,,,
10/3/2018,574.55,,,,,,,,
10/4/2018,571.61,,,,,,,,
10/5/2018,571.36,,,,,,,,
10/8/2018,571.09,,,,,,,,
10/9/2018,576.72,,,,,,,,
10/10/2018,556.04,,,,,,,,
10/11/2018,538.87,,,,,,,,
10/12/2018,540.51,,,,,,,,
10/15/2018,536.08,,,,,,,,
10/16/2018,540.77,,,,,,,,
10/17/2018,537.01,,,,,,,,
10/18/2018,534.41,,,,,,,,
10/19/2018,530.02,,,,,,,,
10/22/2018,524.19,,,,,,,,
10/23/2018,510.17,,,,,,,,
10/24/2018,490.83,,,,,,,,
10/25/2018,496.47,,,,,,,,
10/26/2018,492.59,,,,,,,,
10/29/2018,483.31,,,,,,,,
10/30/2018,494.41,,,,,,,,
10/31/2018,497.37,,,,,,,,
11/1/2018,501.52,,,,,,,,
11/2/2018,500.99,,,,,,,,
11/5/2018,509.06,,,,,,,,
11/6/2018,510.77,,,,,,,,
11/7/2018,519,,,,,,,,
11/8/2018,507.56,,,,,,,,
11/9/2018,505.68,,,,,,,,
11/12/2018,494.86,,,,,,,,
11/13/2018,483.03,,,,,,,,
11/14/2018,482.52,,,,,,,,
11/15/2018,489.65,,,,,,,,
11/16/2018,495.03,,,,,,,,
11/19/2018,494.55,,,,,,,,
11/20/2018,478.27,,,,,,,,
11/21/2018,485.82,,,,,,,,
11/23/2018,469.96,,,,,,,,
11/26/2018,478.03,,,,,,,,
11/27/2018,476.45,,,,,,,,
11/28/2018,484.76,,,,,,,,
11/29/2018,487.6,,,,,,,,
11/30/2018,486.42,,,,,,,,
12/3/2018,497.52,,,,,,,,
12/4/2018,482.93,,,,,,,,
