Effective date ,S&P 500 Financials (Sector),,,,,,,,
4/26/2018,459.1,,,,,,,,
4/27/2018,459.78,,,,,,,,
4/30/2018,455.35,,,,,,,,
5/1/2018,455.74,,,,,,,,
5/2/2018,450.3,,,,,,,,
5/3/2018,446.46,,,,,,,,
5/4/2018,452.01,,,,,,,,
5/7/2018,455.09,,,,,,,,
5/8/2018,458.15,,,,,,,,
5/9/2018,465.01,,,,,,,,
5/10/2018,468.64,,,,,,,,
5/11/2018,468.28,,,,,,,,
5/14/2018,468,,,,,,,,
5/15/2018,467.26,,,,,,,,
5/16/2018,467.72,,,,,,,,
5/17/2018,467.35,,,,,,,,
5/18/2018,463.09,,,,,,,,
5/21/2018,466.52,,,,,,,,
5/22/2018,469.29,,,,,,,,
5/23/2018,466.48,,,,,,,,
5/24/2018,463.17,,,,,,,,
5/25/2018,461.21,,,,,,,,
5/29/2018,445.67,,,,,,,,
5/30/2018,454.32,,,,,,,,
5/31/2018,450.24,,,,,,,,
6/1/2018,455.23,,,,,,,,
6/4/2018,456.53,,,,,,,,
6/5/2018,454.6,,,,,,,,
6/6/2018,462.98,,,,,,,,
6/7/2018,463.97,,,,,,,,
6/8/2018,465.17,,,,,,,,
6/11/2018,463.87,,,,,,,,
6/12/2018,462.33,,,,,,,,
6/13/2018,460.8,,,,,,,,
6/14/2018,456.5,,,,,,,,
6/15/2018,456.35,,,,,,,,
6/18/2018,456.02,,,,,,,,
6/19/2018,454.49,,,,,,,,
6/20/2018,453.08,,,,,,,,
6/21/2018,452.23,,,,,,,,
6/22/2018,449.85,,,,,,,,
6/25/2018,445.2,,,,,,,,
6/26/2018,443.56,,,,,,,,
6/27/2018,437.95,,,,,,,,
6/28/2018,441.71,,,,,,,,
6/29/2018,441.15,,,,,,,,
7/2/2018,444.07,,,,,,,,
7/3/2018,439.39,,,,,,,,
7/5/2018,440.41,,,,,,,,
7/6/2018,442.61,,,,,,,,
7/9/2018,452.89,,,,,,,,
7/10/2018,451.21,,,,,,,,
7/11/2018,448.87,,,,,,,,
7/12/2018,449.73,,,,,,,,
7/13/2018,447.65,,,,,,,,
