Effective date ,S&P 500 Materials (Sector),,,,,,,,
4/26/2018,362.24,,,,,,,,
4/27/2018,361.4,,,,,,,,
4/30/2018,356.71,,,,,,,,
5/1/2018,356.67,,,,,,,,
5/2/2018,355.82,,,,,,,,
5/3/2018,357.04,,,,,,,,
5/4/2018,361.6,,,,,,,,
5/7/2018,361.71,,,,,,,,
5/8/2018,360.81,,,,,,,,
5/9/2018,365.9,,,,,,,,
5/10/2018,368.75,,,,,,,,
5/11/2018,368.61,,,,,,,,
5/14/2018,370.04,,,,,,,,
5/15/2018,368.96,,,,,,,,
5/16/2018,373.2,,,,,,,,
5/17/2018,373.98,,,,,,,,
5/18/2018,374.52,,,,,,,,
5/21/2018,376.6,,,,,,,,
5/22/2018,373.17,,,,,,,,
5/23/2018,372.49,,,,,,,,
5/24/2018,370.91,,,,,,,,
5/25/2018,369.02,,,,,,,,
5/29/2018,362.49,,,,,,,,
5/30/2018,366.39,,,,,,,,
5/31/2018,363.22,,,,,,,,
6/1/2018,368.82,,,,,,,,
6/4/2018,370.91,,,,,,,,
6/5/2018,373.73,,,,,,,,
6/6/2018,380.7,,,,,,,,
6/7/2018,378.65,,,,,,,,
6/8/2018,379.64,,,,,,,,
6/11/2018,380,,,,,,,,
6/12/2018,380.57,,,,,,,,
6/13/2018,376.45,,,,,,,,
6/14/2018,376.8,,,,,,,,
6/15/2018,374.44,,,,,,,,
6/18/2018,373.45,,,,,,,,
6/19/2018,366.67,,,,,,,,
6/20/2018,365.24,,,,,,,,
6/21/2018,361.61,,,,,,,,
6/22/2018,366.59,,,,,,,,
6/25/2018,361.24,,,,,,,,
6/26/2018,362.55,,,,,,,,
6/27/2018,361.23,,,,,,,,
6/28/2018,362.82,,,,,,,,
6/29/2018,363.65,,,,,,,,
7/2/2018,361.98,,,,,,,,
7/3/2018,360.8,,,,,,,,
7/5/2018,364.28,,,,,,,,
7/6/2018,366.01,,,,,,,,
7/9/2018,369.46,,,,,,,,
7/10/2018,372.55,,,,,,,,
7/11/2018,366.27,,,,,,,,
7/12/2018,367.07,,,,,,,,
7/13/2018,367.05,,,,,,,,
7/16/2018,364.13,,,,,,,,
7/17/2018,368.93,,,,,,,,
7/18/2018,368.99,,,,,,,,
7/19/2018,366.75,,,,,,,,
7/20/2018,365.25,,,,,,,,
7/23/2018,363.41,,,,,,,,
7/24/2018,368.12,,,,,,,,
7/25/2018,370.98,,,,,,,,
7/26/2018,373.23,,,,,,,,
7/27/2018,371.89,,,,,,,,
7/30/2018,371.05,,,,,,,,
7/31/2018,374.38,,,,,,,,
8/1/2018,370.74,,,,,,,,
8/2/2018,368.08,,,,,,,,
8/3/2018,371.26,,,,,,,,
8/6/2018,371.64,,,,,,,,
8/7/2018,372.59,,,,,,,,
8/8/2018,371.45,,,,,,,,
8/9/2018,373.3,,,,,,,,
8/10/2018,367.96,,,,,,,,
8/13/2018,364.13,,,,,,,,
8/14/2018,366.91,,,,,,,,
8/15/2018,361.22,,,,,,,,
8/16/2018,363.45,,,,,,,,
8/17/2018,366.13,,,,,,,,
8/20/2018,368.75,,,,,,,,
8/21/2018,370.17,,,,,,,,
8/22/2018,368.52,,,,,,,,
8/23/2018,365.95,,,,,,,,
8/24/2018,370.4,,,,,,,,
8/27/2018,375.85,,,,,,,,
8/28/2018,374.55,,,,,,,,
8/29/2018,377.29,,,,,,,,
8/30/2018,372.56,,,,,,,,
8/31/2018,371.6,,,,,,,,
9/4/2018,368.59,,,,,,,,
9/5/2018,370.84,,,,,,,,
9/6/2018,371.5,,,,,,,,
9/7/2018,369.51,,,,,,,,
9/10/2018,369.83,,,,,,,,
9/11/2018,370.53,,,,,,,,
9/12/2018,370.57,,,,,,,,
9/13/2018,371.77,,,,,,,,
9/14/2018,371.61,,,,,,,,
9/17/2018,372.7,,,,,,,,
9/18/2018,372.89,,,,,,,,
9/19/2018,377.06,,,,,,,,
9/20/2018,381.03,,,,,,,,
9/21/2018,380.16,,,,,,,,
9/24/2018,374.81,,,,,,,,
9/25/2018,373.03,,,,,,,,
9/26/2018,369.2,,,,,,,,
9/27/2018,365.6,,,,,,,,
9/28/2018,363.12,,,,,,,,
10/1/2018,366.91,,,,,,,,
10/2/2018,368.55,,,,,,,,
10/3/2018,365.75,,,,,,,,
10/4/2018,364.22,,,,,,,,
10/5/2018,361.28,,,,,,,,
10/8/2018,361.25,,,,,,,,
10/9/2018,348.98,,,,,,,,
10/10/2018,340.13,,,,,,,,
10/11/2018,336.06,,,,,,,,
10/12/2018,337.46,,,,,,,,
10/15/2018,335.84,,,,,,,,
10/16/2018,341.93,,,,,,,,
10/17/2018,339.1,,,,,,,,
10/18/2018,335.23,,,,,,,,
10/19/2018,332.92,,,,,,,,
10/22/2018,329.85,,,,,,,,
10/23/2018,326.05,,,,,,,,
10/24/2018,315.78,,,,,,,,
10/25/2018,320.13,,,,,,,,
10/26/2018,318.04,,,,,,,,
10/29/2018,317.15,,,,,,,,
10/30/2018,324.31,,,,,,,,
10/31/2018,328.69,,,,,,,,
11/1/2018,338.6,,,,,,,,
11/2/2018,337.57,,,,,,,,
11/5/2018,338.88,,,,,,,,
11/6/2018,343.99,,,,,,,,
11/7/2018,350.54,,,,,,,,
11/8/2018,348.64,,,,,,,,
11/9/2018,343.86,,,,,,,,
11/12/2018,338.74,,,,,,,,
11/13/2018,337.77,,,,,,,,
11/14/2018,337.05,,,,,,,,
11/15/2018,341.9,,,,,,,,
11/16/2018,345.15,,,,,,,,
11/19/2018,340.32,,,,,,,,
11/20/2018,333.99,,,,,,,,
11/21/2018,336.8,,,,,,,,
11/23/2018,333.11,,,,,,,,
11/26/2018,337.09,,,,,,,,
11/27/2018,332.89,,,,,,,,
11/28/2018,337.8,,,,,,,,
11/29/2018,339.66,,,,,,,,
11/30/2018,341.11,,,,,,,,
12/3/2018,347.07,,,,,,,,
12/4/2018,336.38,,,,,,,,
12/6/2018,331.81,,,,,,,,
12/7/2018,323.38,,,,,,,,
12/10/2018,324.34,,,,,,,,
12/11/2018,323.13,,,,,,,,
12/12/2018,326.21,,,,,,,,
12/13/2018,322.51,,,,,,,,
12/14/2018,319.86,,,,,,,,
12/17/2018,313.88,,,,,,,,
12/18/2018,315.65,,,,,,,,
12/19/2018,311.57,,,,,,,,
12/20/2018,307.59,,,,,,,,
12/21/2018,304.67,,,,,,,,
12/24/2018,296.58,,,,,,,,
12/26/2018,310.28,,,,,,,,
12/27/2018,316.01,,,,,,,,
12/28/2018,314.1,,,,,,,,
12/31/2018,316.62,,,,,,,,
1/2/2019,318.05,,,,,,,,
1/3/2019,309.26,,,,,,,,
1/4/2019,321.35,,,,,,,,
1/7/2019,322.39,,,,,,,,
1/8/2019,325.66,,,,,,,,
1/9/2019,325.92,,,,,,,,
1/10/2019,328.76,,,,,,,,
1/11/2019,327.44,,,,,,,,
1/14/2019,324.92,,,,,,,,
1/15/2019,322.82,,,,,,,,
1/16/2019,324.14,,,,,,,,
1/17/2019,329.6,,,,,,,,
1/18/2019,335,,,,,,,,
1/22/2019,330.42,,,,,,,,
1/23/2019,328.28,,,,,,,,
1/24/2019,326.45,,,,,,,,
1/25/2019,332.71,,,,,,,,
1/28/2019,332.44,,,,,,,,
1/29/2019,335.79,,,,,,,,
1/30/2019,339.2,,,,,,,,
1/31/2019,333.98,,,,,,,,
2/1/2019,335.49,,,,,,,,
2/4/2019,334.73,,,,,,,,
2/5/2019,337.41,,,,,,,,
2/6/2019,335.12,,,,,,,,
2/7/2019,330.47,,,,,,,,
2/8/2019,330.3,,,,,,,,
2/11/2019,330.92,,,,,,,,
2/12/2019,338.35,,,,,,,,
2/13/2019,338.7,,,,,,,,
2/14/2019,336.83,,,,,,,,
2/15/2019,341.41,,,,,,,,
2/19/2019,343.39,,,,,,,,
2/20/2019,349.18,,,,,,,,
2/21/2019,347.76,,,,,,,,
2/22/2019,349.17,,,,,,,,
2/25/2019,351.44,,,,,,,,
2/26/2019,349.35,,,,,,,,
2/27/2019,348.46,,,,,,,,
2/28/2019,344.05,,,,,,,,
3/1/2019,343.5,,,,,,,,
3/4/2019,345.03,,,,,,,,
3/5/2019,343.29,,,,,,,,
3/6/2019,343.96,,,,,,,,
3/7/2019,340.9,,,,,,,,
3/8/2019,341.6,,,,,,,,
3/11/2019,346.43,,,,,,,,
3/12/2019,347.59,,,,,,,,
3/13/2019,349.42,,,,,,,,
3/14/2019,346.65,,,,,,,,
3/15/2019,347.35,,,,,,,,
3/18/2019,347.89,,,,,,,,
3/19/2019,347.38,,,,,,,,
3/20/2019,347.21,,,,,,,,
3/21/2019,350.83,,,,,,,,
3/22/2019,340.33,,,,,,,,
3/25/2019,339.78,,,,,,,,
3/26/2019,341.72,,,,,,,,
3/27/2019,341.42,,,,,,,,
3/28/2019,344.67,,,,,,,,
3/29/2019,347.27,,,,,,,,
4/1/2019,352.48,,,,,,,,
4/2/2019,353.9,,,,,,,,
4/3/2019,358.6,,,,,,,,
4/4/2019,362.21,,,,,,,,
4/5/2019,362.03,,,,,,,,
4/8/2019,362.21,,,,,,,,
4/9/2019,359.38,,,,,,,,
4/10/2019,359.27,,,,,,,,
4/11/2019,359.06,,,,,,,,
4/12/2019,363.77,,,,,,,,
4/15/2019,362.09,,,,,,,,
4/16/2019,363.8,,,,,,,,
4/17/2019,361.59,,,,,,,,
4/18/2019,362,,,,,,,,
4/22/2019,359.56,,,,,,,,
4/23/2019,361.14,,,,,,,,
4/24/2019,359.1,,,,,,,,
4/25/2019,354.45,,,,,,,,
4/26/2019,357.37,,,,,,,,
4/29/2019,356.71,,,,,,,,
