Effective date ,S&P 500 Utilities (Sector),,,,,,,,
4/26/2018,259.64,,,,,,,,
4/27/2018,262.13,,,,,,,,
4/30/2018,261.39,,,,,,,,
5/1/2018,260.66,,,,,,,,
5/2/2018,260.31,,,,,,,,
5/3/2018,260.03,,,,,,,,
5/4/2018,261.04,,,,,,,,
5/7/2018,259.64,,,,,,,,
5/8/2018,253.12,,,,,,,,
5/9/2018,251.23,,,,,,,,
5/10/2018,254.59,,,,,,,,
5/11/2018,255.11,,,,,,,,
5/14/2018,254,,,,,,,,
5/15/2018,251.76,,,,,,,,
5/16/2018,249.59,,,,,,,,
5/17/2018,247.35,,,,,,,,
5/18/2018,247.02,,,,,,,,
5/21/2018,248.47,,,,,,,,
5/22/2018,249.44,,,,,,,,
5/23/2018,251.68,,,,,,,,
5/24/2018,253.57,,,,,,,,
5/25/2018,254.63,,,,,,,,
5/29/2018,254.74,,,,,,,,
5/30/2018,256.69,,,,,,,,
5/31/2018,256.98,,,,,,,,
6/1/2018,253.02,,,,,,,,
6/4/2018,250.88,,,,,,,,
6/5/2018,249.25,,,,,,,,
6/6/2018,243.95,,,,,,,,
6/7/2018,245.01,,,,,,,,
6/8/2018,244.98,,,,,,,,
6/11/2018,244.16,,,,,,,,
6/12/2018,247.3,,,,,,,,
6/13/2018,246.63,,,,,,,,
6/14/2018,249.52,,,,,,,,
6/15/2018,251.23,,,,,,,,
6/18/2018,252.11,,,,,,,,
6/19/2018,254.78,,,,,,,,
6/20/2018,254.78,,,,,,,,
6/21/2018,255.63,,,,,,,,
6/22/2018,257.51,,,,,,,,
6/25/2018,261.76,,,,,,,,
6/26/2018,261.73,,,,,,,,
6/27/2018,263.26,,,,,,,,
6/28/2018,263.22,,,,,,,,
6/29/2018,263.3,,,,,,,,
7/2/2018,265.39,,,,,,,,
7/3/2018,266.06,,,,,,,,
7/5/2018,267.74,,,,,,,,
7/6/2018,269.71,,,,,,,,
7/9/2018,261.28,,,,,,,,
7/10/2018,263.83,,,,,,,,
7/11/2018,266.12,,,,,,,,
7/12/2018,266.35,,,,,,,,
7/13/2018,266.51,,,,,,,,
7/16/2018,266.11,,,,,,,,
7/17/2018,265.94,,,,,,,,
7/18/2018,264.61,,,,,,,,
7/19/2018,267.08,,,,,,,,
7/20/2018,265.06,,,,,,,,
7/23/2018,263.37,,,,,,,,
7/24/2018,264.26,,,,,,,,
7/25/2018,264.96,,,,,,,,
7/26/2018,267.99,,,,,,,,
7/27/2018,266.89,,,,,,,,
7/30/2018,265.29,,,,,,,,
7/31/2018,268.11,,,,,,,,
8/1/2018,265.88,,,,,,,,
8/2/2018,267.29,,,,,,,,
8/3/2018,270.05,,,,,,,,
8/6/2018,270.39,,,,,,,,
8/7/2018,269.8,,,,,,,,
8/8/2018,268.35,,,,,,,,
8/9/2018,269.44,,,,,,,,
8/10/2018,268.35,,,,,,,,
8/13/2018,268.59,,,,,,,,
8/14/2018,269.04,,,,,,,,
8/15/2018,271.09,,,,,,,,
8/16/2018,274.12,,,,,,,,
8/17/2018,275.17,,,,,,,,
8/20/2018,274.22,,,,,,,,
8/21/2018,272.25,,,,,,,,
8/22/2018,270.14,,,,,,,,
8/23/2018,270.1,,,,,,,,
8/24/2018,271.28,,,,,,,,
8/27/2018,269.55,,,,,,,,
8/28/2018,268.98,,,,,,,,
8/29/2018,270.56,,,,,,,,
8/30/2018,270.91,,,,,,,,
8/31/2018,269.7,,,,,,,,
9/4/2018,271.17,,,,,,,,
9/5/2018,274.62,,,,,,,,
9/6/2018,275.68,,,,,,,,
9/7/2018,272.37,,,,,,,,
9/10/2018,273.96,,,,,,,,
9/11/2018,273.01,,,,,,,,
9/12/2018,272.77,,,,,,,,
9/13/2018,274.87,,,,,,,,
9/14/2018,273.39,,,,,,,,
9/17/2018,274.22,,,,,,,,
9/18/2018,273.64,,,,,,,,
9/19/2018,267.83,,,,,,,,
9/20/2018,268.15,,,,,,,,
9/21/2018,269.2,,,,,,,,
9/24/2018,266.82,,,,,,,,
9/25/2018,263.56,,,,,,,,
9/26/2018,260.81,,,,,,,,
9/27/2018,263.31,,,,,,,,
9/28/2018,267.28,,,,,,,,
10/1/2018,266.47,,,,,,,,
10/2/2018,269.9,,,,,,,,
10/3/2018,266.59,,,,,,,,
10/4/2018,268.04,,,,,,,,
10/5/2018,272.24,,,,,,,,
10/8/2018,274.34,,,,,,,,
10/9/2018,275.5,,,,,,,,
10/10/2018,274.03,,,,,,,,
10/11/2018,268.63,,,,,,,,
10/12/2018,268.8,,,,,,,,
10/15/2018,269.75,,,,,,,,
10/16/2018,272.89,,,,,,,,
10/17/2018,272.47,,,,,,,,
10/18/2018,272.69,,,,,,,,
10/19/2018,276.99,,,,,,,,
10/22/2018,275.1,,,,,,,,
10/23/2018,273.68,,,,,,,,
10/24/2018,279.97,,,,,,,,
10/25/2018,275.78,,,,,,,,
10/26/2018,271.09,,,,,,,,
10/29/2018,274.75,,,,,,,,
10/30/2018,275.55,,,,,,,,
10/31/2018,272.38,,,,,,,,
11/1/2018,270.94,,,,,,,,
11/2/2018,269.55,,,,,,,,
11/5/2018,273.31,,,,,,,,
11/6/2018,275.4,,,,,,,,
11/7/2018,278.38,,,,,,,,
11/8/2018,277.64,,,,,,,,
11/9/2018,277.9,,,,,,,,
11/12/2018,277.81,,,,,,,,
11/13/2018,278.77,,,,,,,,
11/14/2018,275.62,,,,,,,,
11/15/2018,273.5,,,,,,,,
11/16/2018,277.07,,,,,,,,
11/19/2018,278.5,,,,,,,,
11/20/2018,277.09,,,,,,,,
