Date,Open,High,Low,Close,Adj Close,Volume,Change
2/3/2020,28319.65,28630.39,28319.65,28399.81,28399.81,307910000,-80.16
2/4/2020,28696.74,28904.88,28696.74,28807.63,28807.63,332750000,-110.89
2/5/2020,29048.73,29308.89,29000.85,29290.85,29290.85,357540000,-242.12
2/6/2020,29388.58,29408.05,29246.93,29379.77,29379.77,263700000,8.81
2/7/2020,29286.92,29286.92,29056.98,29102.51,29102.51,252860000,184.41
2/10/2020,28995.66,29278.07,28995.66,29276.82,29276.82,250510000,-281.16
2/11/2020,29390.71,29415.39,29210.47,29276.34,29276.34,279540000,114.37
2/12/2020,29406.75,29568.57,29406.75,29551.42,29551.42,309530000,-144.67
2/13/2020,29436.03,29535.4,29345.93,29423.31,29423.31,291150000,12.72
2/14/2020,29440.47,29463.04,29283.18,29398.08,29398.08,231000000,42.39
2/18/2020,29282.78,29330.16,29116.81,29232.19,29232.19,256600000,50.59
2/19/2020,29312.7,29409.09,29274.38,29348.03,29348.03,240640000,-35.33
2/20/2020,29296.25,29368.45,28959.65,29219.98,29219.98,287780000,76.27
2/21/2020,29146.53,29146.53,28892.7,28992.41,28992.41,311210000,154.12
2/24/2020,28402.93,28402.93,27912.44,27960.8,27960.8,452580000,442.13
2/25/2020,28037.65,28149.2,26997.62,27081.36,27081.36,513270000,956.29
2/26/2020,27159.46,27542.78,26890.97,26957.59,26957.59,472450000,201.87
2/27/2020,26526,26775.31,25752.82,25766.64,25766.64,664980000,759.36
2/28/2020,25270.83,25494.24,24681.01,25409.36,25409.36,915990000,-138.53
3/2/2020,25590.51,26706.17,25391.96,26703.32,26703.32,637200000,-1112.81
3/3/2020,26762.47,27084.59,25706.28,25917.41,25917.41,647080000,845.06
3/4/2020,26383.68,27102.34,26286.31,27090.86,27090.86,457590000,-707.18
3/5/2020,26671.92,26671.92,25943.33,26121.28,26121.28,477370000,550.64
3/6/2020,25457.21,25994.38,25226.62,25864.78,25864.78,599780000,-407.57
3/9/2020,24992.36,24992.36,23706.07,23851.02,23851.02,750430000,1141.34
3/10/2020,24453,25020.99,23690.34,25018.16,25018.16,654860000,-565.16
3/11/2020,24604.63,24604.63,23328.32,23553.22,23553.22,663960000,1051.41
3/12/2020,22184.71,22837.95,21154.46,21200.62,21200.62,908260000,984.09
3/13/2020,21973.82,23189.76,21285.37,23185.62,23185.62,843080000,-1211.8
3/16/2020,20917.53,21768.28,20116.46,20188.52,20188.52,770130000,729.01
3/17/2020,20487.05,21379.35,19882.26,21237.38,21237.38,793060000,-750.33
3/18/2020,20188.69,20489.33,18917.46,19898.92,19898.92,871360000,289.77
3/19/2020,19830.01,20442.63,19177.13,20087.19,20087.19,780300000,-257.18
3/20/2020,20253.15,20531.26,19094.27,19173.98,19173.98,872290000,1079.17
3/23/2020,19028.36,19121.01,18213.65,18591.93,18591.93,787970000,436.43
3/24/2020,19722.19,20737.7,19649.25,20704.91,20704.91,799340000,-982.72
3/25/2020,21050.34,22019.93,20538.34,21200.55,21200.55,796320000,-150.21
3/26/2020,21468.38,22595.06,21427.1,22552.17,22552.17,705180000,-1083.79
3/27/2020,21898.47,22327.57,21469.27,21636.78,21636.78,588830000,261.69
3/30/2020,21678.22,22378.09,21522.08,22327.48,22327.48,545540000,-649.26
3/31/2020,22208.42,22480.37,21852.08,21917.16,21917.16,571210000,291.26
4/1/2020,21227.38,21487.24,20784.43,20943.51,20943.51,506680000,283.87
4/2/2020,20819.46,21477.77,20735.02,21413.44,21413.44,529540000,-593.98
4/3/2020,21285.93,21447.81,20863.09,21052.53,21052.53,450010000,233.4
4/6/2020,21693.63,22783.45,21693.63,22679.99,22679.99,610760000,-986.36
4/7/2020,23537.44,23617.24,22634.45,22653.86,22653.86,594660000,883.58
4/8/2020,22893.47,23513.4,22682.99,23433.57,23433.57,472740000,-540.1
4/9/2020,23690.66,24008.99,23504.09,23719.37,23719.37,566400000,-28.71
4/13/2020,23698.93,23698.93,23095.35,23390.77,23390.77,394320000,308.16
4/14/2020,23690.57,24040.58,23683.44,23949.76,23949.76,485910000,-259.19
4/15/2020,23600.72,23649.72,23233.32,23504.35,23504.35,437630000,96.37
4/16/2020,23543.66,23598.08,23211.38,23537.68,23537.68,471050000,5.98
4/17/2020,23817.15,24264.21,23817.15,24242.49,24242.49,525950000,-425.34
4/20/2020,24095.1,24108.69,23627.19,23650.44,23650.44,423410000,444.66
4/21/2020,23365.25,23365.25,22941.88,23018.88,23018.88,485140000,346.37
4/22/2020,23437.34,23613.1,23339.6,23475.82,23475.82,352880000,-38.48
4/23/2020,23543.09,23885.36,23483.35,23515.26,23515.26,389290000,27.83
4/24/2020,23628.24,23826,23417.68,23775.27,23775.27,376020000,-147.03
4/27/2020,23866.15,24207.65,23840.61,24133.78,24133.78,389390000,-267.63
4/28/2020,24357.17,24512.24,24031.2,24101.55,24101.55,400250000,255.62
4/29/2020,24490.37,24764.77,24453.99,24633.86,24633.86,455290000,-143.49
4/30/2020,24585.57,24585.57,24186.9,24345.72,24345.72,487840000,239.85
5/1/2020,24120.78,24120.78,23645.3,23723.69,23723.69,418160000,397.09
5/4/2020,23581.55,23769.56,23361.16,23749.76,23749.76,355360000,-168.21
5/5/2020,23958.88,24169.72,23868.91,23883.09,23883.09,369710000,75.79
5/6/2020,23978.88,24054.59,23661.14,23664.64,23664.64,377450000,314.24
5/7/2020,23837.21,24094.62,23834.39,23875.89,23875.89,369890000,-38.68
5/8/2020,24107.82,24349.9,24107.05,24331.32,24331.32,335760000,-223.5
5/11/2020,24256.45,24366.21,24070.22,24221.99,24221.99,352400000,34.46
5/12/2020,24292.84,24382.09,23761.58,23764.78,23764.78,359480000,528.06
5/13/2020,23702.16,23708.9,23067.64,23247.97,23247.97,469950000,454.19
5/14/2020,23049.06,23630.86,22789.62,23625.34,23625.34,472700000,-576.28
5/15/2020,23454.83,23730.08,23354.15,23685.42,23685.42,491510000,-230.59
5/18/2020,24059.98,24708.54,24059.98,24597.37,24597.37,484190000,-537.39
5/19/2020,24577.48,24599.5,24202.96,24206.86,24206.86,374100000,370.62
5/20/2020,24455.94,24649.48,24455.94,24575.9,24575.9,366510000,-119.96
5/21/2020,24564.27,24718.46,24370.88,24474.12,24474.12,346770000,90.15
5/22/2020,24461.98,24481.64,24294.07,24465.16,24465.16,255660000,-3.18
5/26/2020,24781.84,25176.42,24781.84,24995.11,24995.11,424380000,-213.27
5/27/2020,25298.63,25551.56,25009.87,25548.27,25548.27,411230000,-249.64
5/28/2020,25697.36,25758.79,25358.73,25400.64,25400.64,377800000,296.72
5/29/2020,25324.15,25482.8,25031.67,25383.11,25383.11,527620000,-58.96
6/1/2020,25342.99,25508.83,25220.66,25475.02,25475.02,338310000,-132.03
6/2/2020,25582.52,25743.13,25523.74,25742.65,25742.65,352610000,-160.13
6/3/2020,25906.88,26337.75,25906.88,26269.89,26269.89,398790000,-363.01
6/4/2020,26226.49,26384.1,26082.31,26281.82,26281.82,372190000,-55.33
6/5/2020,26836.8,27338.3,26836.8,27110.98,27110.98,542310000,-274.18
6/8/2020,27232.93,27580.21,27232.48,27572.44,27572.44,430200000,-339.51
6/9/2020,27447.37,27447.37,27151.06,27272.3,27272.3,381430000,175.07
6/10/2020,27251.89,27355.22,26938.05,26989.99,26989.99,448930000,261.9
6/11/2020,26282.51,26294.08,25082.72,25128.17,25128.17,647780000,1154.34
6/12/2020,25659.42,25965.55,25078.41,25605.54,25605.54,514440000,53.88
6/15/2020,25270.39,25891.58,24843.18,25763.16,25763.16,461230000,-492.77
6/16/2020,26326.68,26611.03,25811.7,26289.98,26289.98,489500000,36.7
6/17/2020,26330.52,26400.07,26068.41,26119.61,26119.61,328830000,210.91
6/18/2020,26016.45,26154.2,25848.53,26080.1,26080.1,328390000,-63.65
6/19/2020,26213.1,26451.44,25759.66,25871.46,25871.46,669390000,341.64
