Date,Total_Deaths
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,1
3/1/2020,0
3/2/2020,5
3/3/2020,1
3/4/2020,4
3/5/2020,1
3/6/2020,2
3/7/2020,3
3/8/2020,4
3/9/2020,1
3/10/2020,6
3/11/2020,5
3/12/2020,10
3/13/2020,8
3/14/2020,8
3/15/2020,12
3/16/2020,27
3/17/2020,38
3/18/2020,61
3/19/2020,73
3/20/2020,108
3/21/2020,102
3/22/2020,116
3/23/2020,192
3/24/2020,243
3/25/2020,333
3/26/2020,419
3/27/2020,522
3/28/2020,642
3/29/2020,624
3/30/2020,713
3/31/2020,1085
4/1/2020,1283
4/2/2020,1512
4/3/2020,1431
4/4/2020,1563
4/5/2020,1615
4/6/2020,1771
4/7/2020,2575
4/8/2020,2160
4/9/2020,2203
4/10/2020,2194
4/11/2020,2127
4/12/2020,1874
4/13/2020,2009
4/14/2020,2434
4/15/2020,2612
4/16/2020,2143
4/17/2020,2110
4/18/2020,1973
4/19/2020,1971
4/20/2020,2229
4/21/2020,2514
4/22/2020,2460
4/23/2020,2456
4/24/2020,2188
4/25/2020,1711
4/26/2020,1399
4/27/2020,1508
4/28/2020,2224
4/29/2020,2418
4/30/2020,2195
5/1/2020,1909
5/2/2020,1731
5/3/2020,1190
5/4/2020,1379
5/5/2020,2242
5/6/2020,2314
5/7/2020,1929
5/8/2020,1763
5/9/2020,1468
5/10/2020,978
5/11/2020,1042
5/12/2020,1598
5/13/2020,1727
5/14/2020,1796
5/15/2020,1668
5/16/2020,1198
5/17/2020,821
5/18/2020,1227
5/19/2020,1456
5/20/2020,1501
5/21/2020,1185
5/22/2020,1217
5/23/2020,1089
5/24/2020,639
5/25/2020,592
5/26/2020,677
5/27/2020,1462
5/28/2020,1101
5/29/2020,1133
5/30/2020,954
5/31/2020,615
6/1/2020,776
6/2/2020,981
6/3/2020,1010
6/4/2020,1013
6/5/2020,891
6/6/2020,642
6/7/2020,459
6/8/2020,507
6/9/2020,913
6/10/2020,876
6/11/2020,830
6/12/2020,829
6/13/2020,735
6/14/2020,345
6/15/2020,396
6/16/2020,814
6/17/2020,739
6/18/2020,689
6/19/2020,629
6/20/2020,559
6/21/2020,317
6/22/2020,407
6/23/2020,748
6/24/2020,737
6/25/2020,537
6/26/2020,629
6/27/2020,503
6/28/2020,318
6/29/2020,385
6/30/2020,553
7/1/2020,704
7/2/2020,713
7/3/2020,670
7/4/2020,315
7/5/2020,326
7/6/2020,376
7/7/2020,1162
7/8/2020,825
7/9/2020,1020
7/10/2020,817
7/11/2020,728
7/12/2020,472
7/13/2020,445
