Date,Total_Deaths
2/3/2020,426
2/4/2020,66
2/5/2020,72
2/6/2020,70
2/7/2020,85
2/8/2020,87
2/9/2020,100
2/10/2020,107
2/11/2020,100
2/12/2020,5
2/13/2020,253
2/14/2020,152
2/15/2020,143
2/16/2020,104
2/17/2020,98
2/18/2020,140
2/19/2020,115
2/20/2020,125
2/21/2020,4
2/22/2020,207
2/23/2020,11
2/24/2020,160
2/25/2020,80
2/26/2020,61
2/27/2020,43
2/28/2020,59
2/29/2020,69
3/1/2020,54
3/2/2020,89
3/3/2020,75
3/4/2020,95
3/5/2020,94
3/6/2020,111
3/7/2020,104
3/8/2020,239
3/9/2020,190
3/10/2020,274
3/11/2020,344
3/12/2020,306
3/13/2020,497
3/14/2020,420
3/15/2020,641
3/16/2020,678
3/17/2020,814
3/18/2020,907
3/19/2020,1111
3/20/2020,1485
3/21/2020,1722
3/22/2020,1685
3/23/2020,1949
3/24/2020,2290
3/25/2020,2810
3/26/2020,3035
3/27/2020,3488
3/28/2020,3730
3/29/2020,3519
3/30/2020,4081
3/31/2020,4748
4/1/2020,5998
4/2/2020,5887
4/3/2020,6161
4/4/2020,5914
4/5/2020,5188
4/6/2020,5938
4/7/2020,8258
4/8/2020,6811
4/9/2020,7784
4/10/2020,7378
4/11/2020,6172
4/12/2020,5859
4/13/2020,5966
4/14/2020,6969
4/15/2020,8473
4/16/2020,7259
4/17/2020,8394
4/18/2020,6145
4/19/2020,5233
4/20/2020,5871
4/21/2020,7273
4/22/2020,6864
4/23/2020,6828
4/24/2020,6770
4/25/2020,5628
4/26/2020,3979
4/27/2020,4746
4/28/2020,6578
4/29/2020,6725
4/30/2020,5841
5/1/2020,5151
5/2/2020,5495
5/3/2020,3511
5/4/2020,4212
5/5/2020,5823
5/6/2020,6505
5/7/2020,5310
5/8/2020,5552
5/9/2020,4225
5/10/2020,3559
5/11/2020,3486
5/12/2020,5485
5/13/2020,5132
5/14/2020,5169
5/15/2020,5221
5/16/2020,4176
5/17/2020,3187
5/18/2020,3763
5/19/2020,4647
5/20/2020,4779
5/21/2020,4659
5/22/2020,5244
5/23/2020,3926
5/24/2020,3016
5/25/2020,1212
5/26/2020,4242
5/27/2020,5055
5/28/2020,4552
5/29/2020,4608
5/30/2020,4024
