,Date,DOW_Close,SP500_Close,NASDAQ_Close,Total_Deaths
0,2/3/2020,28399.81,3248.92,9273.400391,426
1,2/4/2020,28807.63,3297.59,9467.969727,66
2,2/5/2020,29290.85,3334.69,9508.679688,72
3,2/6/2020,29379.77,3345.78,9572.150391,70
4,2/7/2020,29102.51,3327.71,9520.509766,85
5,2/10/2020,29276.82,3352.09,9628.389648,107
6,2/11/2020,29276.34,3357.75,9638.94043,100
7,2/12/2020,29551.42,3379.45,9725.959961,5
8,2/13/2020,29423.31,3373.94,9711.969727,253
9,2/14/2020,29398.08,3380.16,9731.179688,152
10,2/18/2020,29232.19,3370.29,9732.740234,140
11,2/19/2020,29348.03,3386.15,9817.179688,115
12,2/20/2020,29219.98,3373.23,9750.969727,125
13,2/21/2020,28992.41,3337.75,9576.589844,4
14,2/24/2020,27960.8,3225.89,9221.280273,160
15,2/25/2020,27081.36,3128.21,8965.610352,80
16,2/26/2020,26957.59,3116.39,8980.780273,61
17,2/27/2020,25766.64,2978.76,8566.480469,43
18,2/28/2020,25409.36,2954.22,8567.370117,59
19,3/2/2020,26703.32,3090.23,8952.169922,89
20,3/3/2020,25917.41,3003.37,8684.089844,75
21,3/4/2020,27090.86,3130.12,9018.089844,95
22,3/5/2020,26121.28,3023.94,8738.589844,94
23,3/6/2020,25864.78,2972.37,8575.620117,111
24,3/9/2020,23851.02,2746.56,7950.680176000001,190
25,3/10/2020,25018.16,2882.23,8344.25,274
26,3/11/2020,23553.22,2741.38,7952.049805,344
27,3/12/2020,21200.62,2480.64,7201.799805,306
28,3/13/2020,23185.62,2711.02,7874.879883,497
29,3/16/2020,20188.52,2386.13,6904.589844,678
30,3/17/2020,21237.38,2529.19,7334.779785,814
31,3/18/2020,19898.92,2398.1,6989.839844,907
32,3/19/2020,20087.19,2409.39,7150.580078,1111
33,3/20/2020,19173.98,2304.92,6879.52002,1485
34,3/23/2020,18591.93,2237.4,6860.669922,1949
35,3/24/2020,20704.91,2447.33,7417.859863,2290
36,3/25/2020,21200.55,2475.56,7384.299805,2810
37,3/26/2020,22552.17,2630.07,7797.540039,3035
38,3/27/2020,21636.78,2541.47,7502.379883,3488
39,3/30/2020,22327.48,2626.65,7774.149901999999,4081
40,3/31/2020,21917.16,2584.59,7700.100098000001,4748
41,4/1/2020,20943.51,2470.5,7360.580078,5998
42,4/2/2020,21413.44,2526.9,7487.310059,5887
43,4/3/2020,21052.53,2488.65,7373.080078,6161
44,4/6/2020,22679.99,2663.68,7913.240234000001,5938
45,4/7/2020,22653.86,2659.41,7887.259765999999,8258
46,4/8/2020,23433.57,2749.98,8090.899901999999,6811
47,4/9/2020,23719.37,2789.82,8153.580078,7784
48,4/13/2020,23390.77,2761.63,8192.419922,5966
49,4/14/2020,23949.76,2846.06,8515.740234,6969
50,4/15/2020,23504.35,2783.36,8393.179688,8473
51,4/16/2020,23537.68,2799.55,8532.360352,7259
52,4/17/2020,24242.49,2874.56,8650.139648,8394
53,4/20/2020,23650.44,2823.16,8560.730469,5871
54,4/21/2020,23018.88,2736.56,8263.230469,7273
55,4/22/2020,23475.82,2799.31,8495.379883,6864
56,4/23/2020,23515.26,2797.8,8494.75,6828
57,4/24/2020,23775.27,2836.74,8634.519531,6770
58,4/27/2020,24133.78,2878.48,8730.160156,4746
59,4/28/2020,24101.55,2863.39,8607.730469,6578
60,4/29/2020,24633.86,2939.51,8914.709961,6725
61,4/30/2020,24345.72,2912.43,8889.549805,5841
62,5/1/2020,23723.69,2830.71,8604.950195,5151
63,5/4/2020,23749.76,2842.74,8710.709961,4212
64,5/5/2020,23883.09,2868.44,8809.120117,5823
65,5/6/2020,23664.64,2848.42,8854.389648,6505
66,5/7/2020,23875.89,2881.19,8979.660156,5310
67,5/8/2020,24331.32,2929.8,9121.320313,5552
68,5/11/2020,24221.99,2930.19,9192.339844,3486
69,5/12/2020,23764.78,2870.12,9002.549805,5485
70,5/13/2020,23247.97,2820.0,8863.169922,5132
71,5/14/2020,23625.34,2852.5,8943.719727,5169
72,5/15/2020,23685.42,2863.7,9014.55957,5221
73,5/18/2020,24597.37,2953.91,9234.830078,3763
74,5/19/2020,24206.86,2922.94,9185.099609,4647
75,5/20/2020,24575.9,2971.61,9375.780273,4779
76,5/21/2020,24474.12,2948.51,9284.879883,4659
77,5/22/2020,24465.16,2955.45,9324.589844,5244
78,5/26/2020,24995.11,2991.77,9340.219727,4242
79,5/27/2020,25548.27,3036.13,9412.360352,5055
80,5/28/2020,25400.64,3029.73,9368.990234,4552
81,5/29/2020,25383.11,3044.31,9489.870117,4608
82,6/1/2020,25475.02,3055.73,9552.049805,3073
83,6/2/2020,25742.65,3080.82,9608.379883,4677
84,6/3/2020,26269.89,3122.87,9682.910156,5432
85,6/4/2020,26281.82,3112.35,9615.80957,5034
86,6/5/2020,27110.98,3193.93,9814.080078,4578
87,6/8/2020,27572.44,3232.39,9924.75,3702
88,6/9/2020,27272.3,3207.18,9953.75,4774
89,6/10/2020,26989.99,3190.14,10020.34961,5043
90,6/11/2020,25128.17,3002.1,9492.730469,4640
91,6/12/2020,25605.54,3041.31,9588.80957,4209
92,6/15/2020,25763.16,3066.59,9726.019531,3416
93,6/16/2020,26289.98,3124.74,9895.870117,6710
94,6/17/2020,26119.61,3113.49,9910.530273,5147
95,6/18/2020,26080.1,3115.34,9943.049805,4910
96,6/19/2020,25871.46,3097.74,9946.120117,6066
97,6/22/2020,26024.96,3117.86,10056.48047,3562
98,6/23/2020,26156.1,3131.29,10131.37012,5217
99,6/24/2020,25445.94,3050.33,9909.169922,5175
100,6/25/2020,25745.6,3083.76,10017.0,4692
101,6/26/2020,25015.55,3009.05,9757.219727,4748
102,6/29/2020,25595.8,3053.24,9874.150391,3678
103,6/30/2020,25812.88,3100.29,10058.76953,4885
104,7/1/2020,25734.97,3115.86,10154.62988,4945
105,7/2/2020,25827.36,3130.01,10207.62988,5075
106,7/6/2020,26287.03,3179.72,10433.65039,3845
107,7/7/2020,25890.18,3145.32,10343.88965,5967
108,7/8/2020,26067.28,3169.94,10492.5,5275
109,7/9/2020,25706.09,3152.05,10547.75,5407
110,7/10/2020,26075.3,3185.04,10617.44043,5299
111,7/13/2020,26085.8,3155.22,10390.83984,3911
112,7/14/2020,26642.59,3197.52,10488.58008,5597
113,7/15/2020,26870.1,3226.56,10550.49023,5446
114,7/16/2020,26734.71,3215.57,10473.83008,5772
115,7/17/2020,26671.95,3224.73,10503.19043,6668
116,7/20/2020,26680.87,3251.84,10767.08984,4211
117,7/21/2020,26840.4,3257.3,10680.36035,6169
118,7/22/2020,27005.84,3276.02,10706.12988,6946
119,7/23/2020,26652.33,3235.66,10461.41992,9888
120,7/24/2020,26469.89,3215.63,10363.17969,6030
121,7/27/2020,26584.77,3239.41,10536.26953,5183
122,7/28/2020,26379.28,3218.44,10402.08984,6265
123,7/29/2020,26539.57,3258.44,10542.94043,6607
124,7/30/2020,26313.65,3246.22,10587.80957,6050
125,7/31/2020,26428.32,3271.12,10745.26953,6186
126,8/3/2020,26664.4,3294.61,10902.799809999999,4686
127,8/4/2020,26828.47,3306.51,10941.16992,6530
128,8/5/2020,27201.52,3327.77,10998.40039,7051
129,8/6/2020,27386.98,3349.16,11108.07031,6491
130,8/7/2020,27433.48,3351.28,11010.98047,6288
131,8/10/2020,27791.44,3360.47,10968.36035,5353
132,8/11/2020,27686.91,3333.69,10782.82031,6199
133,8/12/2020,27976.84,3380.35,11012.24023,6568
134,8/13/2020,27896.72,3373.43,11042.5,6214
135,8/14/2020,27931.02,3372.85,11019.299809999999,10138
136,8/17/2020,27844.91,3381.99,11129.73047,4180
