Date,DOW_Change,SP500_Change,NASDAQ_Change,Total_Deaths
2/3/2020,-80.16,-13.26,-82.680664,426
2/4/2020,-110.89,-16.98,-69.580079,66
2/5/2020,-242.12,-9.78,65.419921,72
2/6/2020,8.81,-0.86,-31.169922,70
2/7/2020,184.41,7.83,6.129882,85
2/10/2020,-281.16,-33.81,-134.759765,107
2/11/2020,114.37,8.12,41.949218,100
2/12/2020,-144.67,-8.95,-37.360352,5
2/13/2020,12.72,-8.04,-54.929688,253
2/14/2020,42.39,-2.08,-2.279297,152
2/18/2020,50.59,-1.25,-53.700195,140
2/19/2020,-35.33,-5.76,-34.370118,115
2/20/2020,76.27,7.22,48.230468,125
2/21/2020,154.12,22.75,131.419922,4
2/24/2020,442.13,31.72,-32.839843,160
2/25/2020,956.29,110.73,335.589843,80
2/26/2020,201.87,23.51,30.769532,61
2/27/2020,759.36,83.78,177.549804,43
2/28/2020,-138.53,-37.32,-297.629883,59
3/2/2020,-1112.81,-115.95,-285.030274,89
3/3/2020,845.06,93.09,281.009765,75
3/4/2020,-707.18,-84.37,-183.990235,95
3/5/2020,550.64,51.76,51.5,94
3/6/2020,-407.57,-18.17,-106.600586,111
3/9/2020,1141.34,117.33,7.25,190
3/10/2020,-565.16,-68.75,-124.490234,274
3/11/2020,1051.41,84.22,184.200195,344
3/12/2020,984.09,150.22,196.780273,306
3/13/2020,-1211.8,-141.03,-264.489746,497
3/16/2020,729.01,122.46,488.140136,678
3/17/2020,-750.33,-103.53,-262.779785,814
3/18/2020,289.77,38.4,-87.52002,907
3/19/2020,-257.18,-15.91,-154.129883,1111
3/20/2020,1079.17,127.02,368.549804,1485
3/23/2020,436.43,53.31,-13.390137,1949
3/24/2020,-982.72,-102.89,-221.709961,2290
3/25/2020,-150.21,-17.79,37.060058,2810
3/26/2020,-1083.79,-128.78,-335.330078,3035
3/27/2020,261.69,14.4,51.870117,3488
3/30/2020,-649.26,-67.67,-190.689941,4081
3/31/2020,291.26,30.1,39.959961,4748
