,urlred25
0,https://www.nytimes.com/2020/03/12/upshot/markets-weird-coronavirus.html
1,https://www.nytimes.com/2020/03/12/business/stock-market-today.html
2,https://www.nytimes.com/2020/03/12/business/economy/wall-street-funding-troubles-fed.html
3,https://www.nytimes.com/2020/03/12/business/coronavirus-401k-contributions.html
4,https://www.nytimes.com/2020/03/12/business/coronavirus-401k-bonds.html
5,https://www.nytimes.com/2020/03/12/business/european-central-bank-rates-coronavirus.html
6,https://www.nytimes.com/2020/03/12/opinion/coronavirus-economy.html
7,https://www.nytimes.com/2020/03/12/us/politics/trump-coronavirus-address.html
8,https://www.nytimes.com/2020/03/12/opinion/sunday/coronavirus-statistics.html
9,https://www.nytimes.com/2020/03/12/business/economy/coronavirus-response-wall-street.html
10,https://www.nytimes.com/2020/03/20/business/coronavirus-trump-stock-market.html
11,https://www.nytimes.com/2020/03/20/opinion/burr-loeffler-stocks-coronavirus.html
12,https://www.nytimes.com/2020/03/20/business/buy-stocks-bear-market.html
13,https://www.nytimes.com/2020/03/20/us/politics/coronavirus-richard-burr-insider-trading.html
14,https://www.nytimes.com/2020/03/19/us/politics/richard-burr-stocks-sold-coronavirus.html
15,https://www.nytimes.com/2020/03/20/opinion/trump-republicans-coronavirus.html
16,https://www.nytimes.com/2020/03/20/business/coronavirus-hedge-funds-stocks.html
17,https://www.nytimes.com/2020/03/20/business/stock-market-today-coronavirus.html
18,https://www.nytimes.com/2020/03/20/opinion/coronavirus-economy-currency.html
19,https://www.nytimes.com/2020/03/20/us/politics/kelly-loeffler-richard-burr-insider-trading.html
20,https://www.nytimes.com/2020/03/16/briefing/coronavirus-markets-democratic-debate.html
21,https://www.nytimes.com/2020/03/16/reader-center/stock-reporter-coronavirus.html
22,https://www.nytimes.com/2020/03/16/business/stock-market-coronavirus-federal-reserve.html
23,https://www.nytimes.com/2020/03/16/business/coronavirus-cleaning-offices.html
24,https://www.nytimes.com/2020/03/16/business/stock-market-drops-recap.html
25,https://www.nytimes.com/2020/03/16/briefing/virus-guidelines-market-collapse-primaries.html
26,https://www.nytimes.com/2020/03/16/learning/lesson-of-the-day-coronavirus-cost-to-businesses-and-workers-it-has-all-gone-to-hell.html
27,https://www.nytimes.com/2020/03/16/briefing/coronavirus-china-economy-billie-eilish.html
28,https://www.nytimes.com/2020/03/16/us/coronavirus-gun-buyers.html
29,https://www.nytimes.com/2020/03/16/business/dealbook/coronavirus-federal-reserve.html
30,https://www.nytimes.com/2020/03/09/business/stock-market-oil-coronavirus.html
31,https://www.nytimes.com/2020/03/09/briefing/coronavirus-stock-markets-democrats.html
32,https://www.nytimes.com/2020/03/09/business/economy/trump-coronavirus-economic-fallout.html
33,https://www.nytimes.com/2020/03/09/business/stock-market-coronavirus-investing.html
34,https://www.nytimes.com/2020/03/09/briefing/coronavirus-stock-market-prince-harry.html
35,https://www.nytimes.com/2020/03/09/briefing/coronavirus-ashraf-ghani-afghanistan-markets.html
36,https://www.nytimes.com/2020/03/09/business/dealbook/oil-coronavirus-market-turmoil.html
37,https://www.nytimes.com/2020/03/09/business/energy-environment/saudi-oil-price-impact.html
38,https://www.nytimes.com/2020/03/09/business/stock-market-today.html
39,https://www.nytimes.com/2020/03/09/business/europe-recession-coronavirus.html
40,https://www.nytimes.com/2020/02/25/business/stock-markets-covid-19.html
41,https://www.nytimes.com/2020/02/25/business/economy/fed-coronavirus-economy.html
42,https://www.nytimes.com/2020/02/25/opinion/stock-market-coronavirus-economy.html
43,https://www.nytimes.com/2020/02/25/business/dealbook/coronavirus-markets-impact.html
44,https://www.nytimes.com/2020/02/25/health/coronavirus-us.html
45,https://www.nytimes.com/2020/02/25/opinion/coronavirus-cases-spread.html
46,https://www.nytimes.com/2020/02/25/arts/diana-serra-cary-baby-peggy-dead.html
47,https://www.nytimes.com/2020/02/25/world/asia/coronavirus-news.html
